pl_name,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_bmassprov,pl_orbeccen,pl_eqt,st_rad,st_mass,st_logg,rastr,ra,decstr,dec,sy_dist
11 Com b,,1.21,,5434.7,Msini,,,,2.6,,12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516,93.1846
11 Com b,326.03,1.29,,6165.6,Msini,0.231,,19,2.7,2.31,12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516,93.1846
11 Com b,323.21,1.178,,4914.89849,Msini,0.238,,13.76,2.09,2.45,12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516,93.1846
11 UMi b,516.21997,1.53,,4684.8142,Msini,0.08,,29.79,2.78,1.93,15h17m05.90s,229.2745954,+71d49m26.19s,71.8239428,125.321
11 UMi b,,1.51,,3432.4,Msini,,,,1.7,,15h17m05.90s,229.2745954,+71d49m26.19s,71.8239428,125.321
11 UMi b,516.22,1.54,,3337.07,Msini,0.08,,24.08,1.8,1.6,15h17m05.90s,229.2745954,+71d49m26.19s,71.8239428,125.321
14 And b,186.76,0.775,,1131.1513,Msini,0,,11.55,1.78,2.55,23h31m17.80s,352.82415,+39d14m09.01s,39.2358367,75.4392
14 And b,,0.68,,1017,Msini,,,,1.2,,23h31m17.80s,352.82415,+39d14m09.01s,39.2358367,75.4392
14 And b,185.84,0.83,,1525.5,Msini,0,,11,2.2,2.63,23h31m17.80s,352.82415,+39d14m09.01s,39.2358367,75.4392
14 Her b,1773.4,2.77,,1474.67,Msini,0.369,,,,,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.9323
14 Her b,1766,2.864,,1581.138,Msini,0.359,,1,0.91,4.4,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.9323
14 Her b,1765.0389,2.774,,2559.47216,Mass,0.373,,,0.91,,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.9323
14 Her b,1773.40002,2.93,,1481.0878,Msini,0.37,,0.93,0.9,4.45,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.9323
14 Her b,1796.4,2.8,,1506.45,Msini,0.338,,,0.9,4.4,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.9323
14 Her b,1766.41,2.83,,1541.46777,Msini,0.3674,,1,0.97,4.43,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.9323
14 Her b,1724,2.82,,1554.12,Msini,0.37,,,1,,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.9323
14 Her b,,2.73,,1440.663,Msini,0.357,,,0.9,,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.9323
16 Cyg B b,799.45,1.676,,556.83537,Msini,0.6832,,1.16,0.98,4.3,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,21.1397
16 Cyg B b,798.5,1.681,,533.9544,Msini,0.681,,,0.99,4.36,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,21.1397
16 Cyg B b,800.8,1.6,,476.7,Msini,0.634,,,1,4.35,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,21.1397
16 Cyg B b,799.5,1.68,,533.93,Msini,0.689,,1.13,1.03,4.35,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,21.1397
16 Cyg B b,799.5,1.68,,533.93,Msini,0.689,,,,,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,21.1397
16 Cyg B b,798.5,1.66,,565.7374,Msini,0.68,,1.13,1.08,4.36,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,21.1397
17 Sco b,578.38,1.45,,1373.01872,Msini,0.06,,25.92,1.22,1.7,16h13m50.90s,243.4620874,-11d50m16.05s,-11.8377905,124.953
18 Del b,993.3,2.6,,3273.5,Msini,0.08,,8.5,2.3,2.82,20h58m25.88s,314.6078375,+10d50m20.90s,10.8391378,76.222
18 Del b,982.85,2.476,,2926.24614,Msini,0.024,,8.8,2.1,2.87,20h58m25.88s,314.6078375,+10d50m20.90s,10.8391378,76.222
18 Del b,,2.54,,3127.3,Msini,,,,2.1,,20h58m25.88s,314.6078375,+10d50m20.90s,10.8391378,76.222
1RXS J160929.1-210524 b,,330,,4000,Mass,,1700,,0.85,,16h09m30.30s,242.3762343,-21d04m59.31s,-21.0831403,139.135
1RXS J160929.1-210524 b,,330,,3000,Mass,,1700,,0.85,,16h09m30.30s,242.3762343,-21d04m59.31s,-21.0831403,139.135
1RXS J160929.1-210524 b,,330,,3000,Mass,,1800,1.31,0.62,4,16h09m30.30s,242.3762343,-21d04m59.31s,-21.0831403,139.135
1RXS J160929.1-210524 b,,330,18.647,2543,Mass,,1800,1.35,0.85,,16h09m30.30s,242.3762343,-21d04m59.31s,-21.0831403,139.135
24 Boo b,30.3506,0.19,,289.2253,Msini,0.042,,10.64,0.99,2.42,14h28m37.33s,217.1555242,+49d50m40.74s,49.8446488,95.9863
24 Boo b,30.33,0.194,,280.64248,Msini,0.032,,12.19,1.05,2.28,14h28m37.33s,217.1555242,+49d50m40.74s,49.8446488,95.9863
24 Sex b,452.8,1.333,,632.46,Msini,0.09,,4.9,1.54,3.5,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,72.0691
24 Sex c,883,2.08,,273.32,Msini,0.29,,4.9,1.54,3.5,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,72.0691
2M0437 b,,118,,1271.31363,Mass,,1450,0.84,0.17,4.5,04h37m21.73s,69.3405531,+26d51m01.08s,26.8502997,128.484
2MASS J01033563-5515561 AB b,,84,,4131.79,Mass,,,,0.19,,01h03m35.82s,15.8992489,-55d15m56.98s,-55.2658291,
2MASS J01225093-2439505 b,,,11.209,,,,1600,0.37,0.35,4.86,01h22m51.07s,20.7128012,-24d39m52.61s,-24.6646128,33.8281
2MASS J01225093-2439505 b,,52,,7786.5,Mass,,,,0.4,,01h22m51.07s,20.7128012,-24d39m52.61s,-24.6646128,33.8281
